2020-11-30 18:57:44,"b""Slates we're focusing on for 11/30 content:\n\n#FanDuel/#DraftKings:\n8:15PM EST #NFL Showdown (1 GAME)\n\nJoin our FREE\xe2\x80\xa6 https://t.co/0bMzi5wbi6""",WagerDrop,support@wagerdrop.com,4265,5001,,0,Twitter Web App
2020-11-30 18:54:03,b'RT @DFSPrimeLineups: #CyberMonday #Sale 24 hours only! #FREE preview\xe2\x9e\xa1\xef\xb8\x8f https://t.co/dLBNGuv5It The #best #DailyFantasySports #DFScontent !\xe2\x80\xa6',DFSPrimeLineups,Winners Lane,6166,834,,1,Twitter for iPhone
2020-11-30 18:46:27,b'RT @USA_DONN: Why me?\n\nhttps://t.co/464OkI1qNO \n\n#ncaabasketball #cbb #WagerTalkToday #FanDuel  #TheEdge  #collegefootball \n\n@jerseykidpick\xe2\x80\xa6',Drtydzlz,USA,212,497,,2,Twitter Web App
2020-11-30 18:45:51,b'What a NFL Sunday! #Fanduel &amp; #Draftkings Early and main both cashed.\n\nDK Main finished in the top 5% of the large\xe2\x80\xa6 https://t.co/pafCZUsKVP',dfs_scouts,"Toronto, Ontario",1219,143,,0,Twitter Web App
2020-11-30 18:44:37,b'RT @USA_DONN: Why me?\n\nhttps://t.co/464OkI1qNO \n\n#ncaabasketball #cbb #WagerTalkToday #FanDuel  #TheEdge  #collegefootball \n\n@jerseykidpick\xe2\x80\xa6',JerseyKidPicks,"Brigantine, NJ",154936,154975,,2,Twitter for iPhone
2020-11-30 18:32:02,"b""RT @VegasSyndicate: I've had several questions if we are on the Texas vs. Davidson game. No we are not ....\n\n#1 College Basketball Service\xe2\x80\xa6""",VegasSyndicate,"Henderson, Nevada",10350,3404,,1,Twitter Web App
2020-11-30 18:29:38,b'Say what?\n\nhttps://t.co/EGkyUjiJKX \n\n#ncaabasketball #cbb #WagerTalkToday #FanDuel  #TheEdge  #collegefootball\xe2\x80\xa6 https://t.co/O7knTSIroi',JerseySportsFa1,"New Jersey, USA",216,282,,0,Twitter for Android
2020-11-30 18:24:51,b'https://t.co/wzqPiBshm6  11/30 #guaranteedpick DAILYFREEPICKS  #expertpicks #sportspicks #NFL #MLB #CFB #NCAAF #CBB\xe2\x80\xa6 https://t.co/LC3Le4dipU',SportsWatch1,"Las Vegas, NV",12314,22798,,0,SWM Automated Tweets For Members
2020-11-30 18:24:06,b'https://t.co/MF1MLWjqU5  11/30 #guaranteedpick DAILYFREEPICKS #marchmadness #expertpicks #sportspicks #NFL #MLB\xe2\x80\xa6 https://t.co/E2AskIa0Lr',SportsWatch1,"Las Vegas, NV",12314,22798,,0,SWM Automated Tweets For Members
2020-11-30 18:22:49,b'Why me?\n\nhttps://t.co/464OkI1qNO \n\n#ncaabasketball #cbb #WagerTalkToday #FanDuel  #TheEdge  #collegefootball\xe2\x80\xa6 https://t.co/xgJd3pvoHY',USA_DONN,Global,2726,1751,,2,Twitter for Android
2020-11-30 18:21:09,b'RT @AwesemoNFL: \xf0\x9f\x9a\xa8\xf0\x9f\x8f\x88FREE for #MNF\xf0\x9f\x8f\x88\xf0\x9f\x9a\xa8\n\nThe @AwesemoNFL DFS Showdown/Single Game Rankings -- #Eagles vs. #Seahawks\n\nhttps://t.co/lgKUTrmGLd\n\n#dr\xe2\x80\xa6',bobertl28,,44,395,,1,Twitter for Android
2020-11-30 18:18:33,b'Blue 24...Blue 24 ....set....hike\n\nhttps://t.co/tRgWPvIYOD \n\n#ncaabasketball #cbb #WagerTalkToday #FanDuel\xe2\x80\xa6 https://t.co/KBHBCQNpHA',sportgirlsUSA,Global,609,377,,0,Twitter for Android
2020-11-30 18:15:00,b'Breaking Down the Week 12 Monday Night Slate for DFS\n\nDerek Brown (@DBro_FFB) dives in on the Week 12 Monday night\xe2\x80\xa6 https://t.co/3YZTGm0cSM',FTNDaily,,3497,272,,1,Twitter Web App
2020-11-30 18:11:04,b'NFL Prime Time Games: Week 12 Monday Night Football Seahawks at Eagles | #DraftKings + #FanDuel -- @EmacDFS https://t.co/PSbfl07bm5',AwesemoNFL,"Chicago, IL",8775,191,,0,Sprout Social
2020-11-30 18:10:51,"b""RT @dailysportpickz: If the Bears win Tonight on #SNF against the Packers I'll give someone who RTs this tweet and Follows Me $30 on Venmo,\xe2\x80\xa6""",BayMan3205,,1021,4928,,33,Twitter Web App
2020-11-30 18:04:22,b'https://t.co/AtZAEbfgGf  11/30 (845) Arkansas Little Rock vs. (846) Duquesne #guaranteedpick THEWACKYREPORT\xe2\x80\xa6 https://t.co/m73elDmqws',SportsWatch1,"Las Vegas, NV",12314,22798,,0,SWM Automated Tweets For Members
2020-11-30 18:01:03,b'\xf0\x9f\x9a\xa8\xf0\x9f\x8f\x88FREE for #MNF\xf0\x9f\x8f\x88\xf0\x9f\x9a\xa8\n\nThe @AwesemoNFL DFS Showdown/Single Game Rankings -- #Eagles vs. #Seahawks\xe2\x80\xa6 https://t.co/WyaqJffXhG',AwesemoNFL,"Chicago, IL",8775,191,,1,Sprout Social
2020-11-30 18:00:24,b'#CollegeBasketball is back. Hit the link to bet on games. \xf0\x9f\x92\xb0 50%deposit match bonus \nhttps://t.co/9jYJ7EoMyb\n\n#NCAAB\xe2\x80\xa6 https://t.co/2Qg9NNUr4i',Gambling1013,"Atlanta, GA",61,76,,0,Twitter for Android
2020-11-30 17:53:53,"b'RT @detnewsRodBeard: #Pistons reach agreements to make #DraftKings, #FanDuel sports-betting partners: https://t.co/lxbRFYCD9s https://t.co/\xe2\x80\xa6'",AdultnamedRob,Glass City,482,193,,3,Flamingo for Android
2020-11-30 17:53:25,"b'RT @detnewsRodBeard: #Pistons reach agreements to make #DraftKings, #FanDuel sports-betting partners: https://t.co/lxbRFYCD9s https://t.co/\xe2\x80\xa6'",PistonPowered,Little Caesars Arena,10508,945,,3,Twitter for Android
